원보험사코드,원수사명,티커,생손보여부,공시분기,신계약CSM_연누계,월납월초보험료_연누계,신계약CSM배수_연누계,신계약CSM_당분기,월납월초보험료_당분기,신계약CSM배수_당분기
KR1000,코리안리재보험,003690,손해보험,2026.1Q,537.3,0.0,,537.3,0.0,
KR0083,푸본현대생명보험,X,생명보험,2023.1Q,74.5,12.8251,5.8089,74.5,12.8251,5.8089
KR0083,푸본현대생명보험,X,생명보험,2023.2Q,489.7,41.7698,11.7238,415.2,28.9447,14.3446
KR0083,푸본현대생명보험,X,생명보험,2023.3Q,843.5,97.4798,8.6531,353.8,55.71,6.3507
KR0083,푸본현대생명보험,X,생명보험,2023.4Q,1165.1,131.6756,8.8483,321.6,34.1958,9.4047
KR0083,푸본현대생명보험,X,생명보험,2024.1Q,224.6,32.4757,6.9159,224.6,32.4757,6.9159
KR0083,푸본현대생명보험,X,생명보험,2024.2Q,314.6,77.4051,4.0643,90.0,44.9294,2.0031
KR0083,푸본현대생명보험,X,생명보험,2024.3Q,412.7,131.7063,3.1335,98.1,54.3012,1.8066
KR0083,푸본현대생명보험,X,생명보험,2024.4Q,528.8,182.9255,2.8908,116.1,51.2192,2.2667
KR0083,푸본현대생명보험,X,생명보험,2025.1Q,132.8,30.0174,4.4241,132.8,30.0174,4.4241
KR0083,푸본현대생명보험,X,생명보험,2025.2Q,512.3,66.9351,7.6537,379.5,36.9177,10.2796
KR0083,푸본현대생명보험,X,생명보험,2025.3Q,745.8,114.6019,6.5077,233.5,47.6668,4.8986
KR0083,푸본현대생명보험,X,생명보험,2025.4Q,996.8,161.7336,6.1632,251.0,47.1317,5.3255
KR0083,푸본현대생명보험,X,생명보험,2026.1Q,231.5,37.1795,6.2265,231.5,37.1795,6.2265
KR0097,하나생명보험,X,생명보험,2024.4Q,3240.3,350.6248,9.2415,,66.0849,
KR0050,하나손해보험,X,손해보험,2024.4Q,752.2,68.2504,11.0212,,20.6348,
KR0050,하나손해보험,X,손해보험,2025.4Q,1506.2,106.9619,14.0816,,39.1259,
KR0050,하나손해보험,X,손해보험,2023.4Q,623.6,,,,,
KR0068,한화생명,088350,생명보험,2023.1Q,5715.6,804.7929,7.102,5715.6,804.7929,7.102
KR0068,한화생명,088350,생명보험,2023.2Q,13592.2,1374.0104,9.8924,7876.6,569.2175,13.8376
KR0068,한화생명,088350,생명보험,2023.3Q,18559.5,1924.0726,9.6459,4967.3,550.0622,9.0304
KR0068,한화생명,088350,생명보험,2023.4Q,25412.2,2452.4733,10.3619,6852.7,528.4007,12.9688
KR0068,한화생명,088350,생명보험,2024.1Q,5154.0,823.2952,6.2602,5154.0,823.2952,6.2602
KR0068,한화생명,088350,생명보험,2024.2Q,9964.9,1367.8283,7.2852,4810.9,544.5331,8.8349
KR0068,한화생명,088350,생명보험,2024.3Q,15385.3,2021.6272,7.6104,5420.4,653.7989,8.2906
KR0068,한화생명,088350,생명보험,2024.4Q,21230.9,2697.9347,7.8693,5845.6,676.3075,8.6434
KR0068,한화생명,088350,생명보험,2025.1Q,4881.9,616.4476,7.9194,4881.9,616.4476,7.9194
KR0068,한화생명,088350,생명보험,2025.2Q,9255.2,1251.3657,7.3961,4373.3,634.9181,6.888
KR0068,한화생명,088350,생명보험,2025.3Q,14898.1,2017.6817,7.3838,5642.9,766.316,7.3637
KR0068,한화생명,088350,생명보험,2025.4Q,20662.6,2691.2407,7.6777,5764.5,673.559,8.5583
KR0068,한화생명,088350,생명보험,2026.1Q,6109.3,621.1757,9.8351,6109.3,621.1757,9.8351
KR0002,한화손해보험,000370,손해보험,2023.1Q,1332.8,120.1127,11.0962,1332.8,120.1127,11.0962
KR0002,한화손해보험,000370,손해보험,2023.2Q,2928.9,293.5364,9.978,1596.1,173.4237,9.2035
KR0002,한화손해보험,000370,손해보험,2023.3Q,4695.0,470.2472,9.9841,1766.1,176.7108,9.9943
KR0002,한화손해보험,000370,손해보험,2023.4Q,6784.0,627.0612,10.8187,2089.0,156.814,13.3215
KR0002,한화손해보험,000370,손해보험,2024.1Q,1985.8,178.3722,11.1329,1985.8,178.3722,11.1329
KR0002,한화손해보험,000370,손해보험,2024.2Q,3668.1,345.17,10.6269,1682.3,166.7978,10.0859
KR0002,한화손해보험,000370,손해보험,2024.3Q,5474.6,517.442,10.5801,1806.5,172.272,10.4863
KR0002,한화손해보험,000370,손해보험,2024.4Q,7409.9,710.9056,10.4232,1935.3,193.4636,10.0034
KR0002,한화손해보험,000370,손해보험,2025.1Q,1891.2,190.3077,9.9376,1891.2,190.3077,9.9376
KR0002,한화손해보험,000370,손해보험,2025.2Q,4510.3,408.9234,11.0297,2619.1,218.6157,11.9804
KR0002,한화손해보험,000370,손해보험,2025.3Q,7350.9,632.158,11.6283,2840.6,223.2346,12.7247
KR0002,한화손해보험,000370,손해보험,2025.4Q,10178.0,877.166,11.6033,2827.1,245.008,11.5388
KR0002,한화손해보험,000370,손해보험,2026.1Q,3024.2,235.2073,12.8576,3024.2,235.2073,12.8576
KR0009,현대해상,001450,손해보험,2023.1Q,4946.7,370.152,13.364,4946.7,370.152,13.364
KR0009,현대해상,001450,손해보험,2023.2Q,9542.1,761.928,12.5236,4595.4,391.776,11.7297
KR0009,현대해상,001450,손해보험,2023.3Q,13221.4,1156.2915,11.4343,3679.3,394.3635,9.3297
KR0009,현대해상,001450,손해보험,2023.4Q,16792.4,1501.1067,11.1867,3571.0,344.8152,10.3563
KR0009,현대해상,001450,손해보험,2024.1Q,4114.6,394.8125,10.4217,4114.6,394.8125,10.4217
KR0009,현대해상,001450,손해보험,2024.2Q,8469.3,718.5737,11.7863,4354.7,323.7612,13.4503
KR0009,현대해상,001450,손해보험,2024.3Q,13318.6,1065.2597,12.5027,4849.3,346.686,13.9876
KR0009,현대해상,001450,손해보험,2024.4Q,18278.8,1415.8853,12.9098,4960.2,350.6256,14.1467
KR0009,현대해상,001450,손해보험,2025.1Q,4792.5,337.702,14.1915,4792.5,337.702,14.1915
KR0009,현대해상,001450,손해보험,2025.2Q,10049.1,638.9288,15.728,5256.6,301.2268,17.4506
KR0009,현대해상,001450,손해보험,2025.3Q,15165.5,949.9223,15.965,5116.4,310.9935,16.4518
KR0009,현대해상,001450,손해보험,2025.4Q,20375.6,1278.3967,15.9384,5210.1,328.4744,15.8615
KR0009,현대해상,001450,손해보험,2026.1Q,4708.3,281.0589,16.752,4708.3,281.0589,16.752
KR0071,흥국생명보험,X,생명보험,2023.1Q,740.0,32.9734,22.4423,740.0,32.9734,22.4423
KR0071,흥국생명보험,X,생명보험,2023.2Q,1532.2,70.9127,21.6068,792.2,37.9393,20.8807
KR0071,흥국생명보험,X,생명보험,2023.3Q,2482.3,114.0442,21.7661,950.1,43.1315,22.028
KR0071,흥국생명보험,X,생명보험,2023.4Q,3672.1,160.7166,22.8483,1189.8,46.6724,25.4926
KR0071,흥국생명보험,X,생명보험,2024.1Q,1053.7,50.9252,20.6911,1053.7,50.9252,20.6911
KR0071,흥국생명보험,X,생명보험,2024.2Q,1930.8,93.7221,20.6013,877.1,42.7969,20.4945
KR0071,흥국생명보험,X,생명보험,2024.3Q,2850.9,142.7354,19.9733,920.1,49.0133,18.7725
KR0071,흥국생명보험,X,생명보험,2024.4Q,3883.0,199.6577,19.4483,1032.1,56.9223,18.1317
KR0071,흥국생명보험,X,생명보험,2025.1Q,1122.8,71.5646,15.6893,1122.8,71.5646,15.6893
KR0071,흥국생명보험,X,생명보험,2025.2Q,2306.5,143.6288,16.0588,1183.7,72.0642,16.4256
KR0071,흥국생명보험,X,생명보험,2025.3Q,3870.3,234.4098,16.5108,1563.8,90.781,17.2261
KR0071,흥국생명보험,X,생명보험,2025.4Q,5328.1,332.391,16.0296,1457.8,97.9812,14.8784
KR0071,흥국생명보험,X,생명보험,2026.1Q,1595.1,113.3625,14.0708,1595.1,113.3625,14.0708
KR0005,흥국화재,000540,손해보험,2023.1Q,665.0,38.5049,17.2705,665.0,38.5049,17.2705
KR0005,흥국화재,000540,손해보험,2023.2Q,1375.7,83.2842,16.5181,710.7,44.7793,15.8712
KR0005,흥국화재,000540,손해보험,2023.3Q,2096.9,128.3937,16.3318,721.2,45.1095,15.9878
KR0005,흥국화재,000540,손해보험,2023.4Q,2812.0,177.35,15.8557,715.1,48.9563,14.6069
KR0005,흥국화재,000540,손해보험,2024.1Q,694.8,51.0973,13.5976,694.8,51.0973,13.5976
KR0005,흥국화재,000540,손해보험,2024.2Q,1157.3,90.6392,12.7682,462.5,39.5419,11.6965
KR0005,흥국화재,000540,손해보험,2024.3Q,1703.3,145.2638,11.7256,546.0,54.6246,9.9955
KR0005,흥국화재,000540,손해보험,2024.4Q,3127.6,246.3254,12.697,1424.3,101.0616,14.0934
KR0005,흥국화재,000540,손해보험,2025.1Q,840.7,74.8197,11.2363,840.7,74.8197,11.2363
KR0005,흥국화재,000540,손해보험,2025.2Q,2353.9,165.8448,14.1934,1513.2,91.0251,16.624
KR0005,흥국화재,000540,손해보험,2025.3Q,4383.5,281.8481,15.5527,2029.6,116.0033,17.4961
KR0005,흥국화재,000540,손해보험,2025.4Q,6635.2,410.055,16.1812,2251.7,128.2069,17.563
KR0005,흥국화재,000540,손해보험,2026.1Q,1929.4,116.846,16.5123,1929.4,116.846,16.5123
