company_jp,company_en,sector,category,ir_url,disclosure_url,fy2025_esr_status,esr_pct,esr_scope,as_of,source_url,doc_type,checked_at,notes
セコム損害保険,SECOM Non-Life,損保,子会社(SECOM),https://www.secom-sonpo.co.jp/gaiyo/disclosure.html,https://www.secom-sonpo.co.jp/gaiyo/disclosure.html,not_yet,,,,https://www.secom-sonpo.co.jp/gaiyo/pdf/disclosure2026.pdf,ディスクロージャー誌(セコム損害保険の現状2026),2026-09-12,본문 100p 직접 PDF 열람 확인. p4/p42/p85: '2025年度末から経済価値ベースのソルベンシー・マージン比率となることから、必要な手続きが完了後に別途ホームページ等で開示いたします' 명시(3개소). FY2024 구기준 SMR=896.5%(참고치).
全管協れいわ損害保険,Zenkankyou Reiwa,損保,子会社,https://www.zkreiwa-sonpo.co.jp/category/disclosure/,https://www.zkreiwa-sonpo.co.jp/category/disclosure/,not_yet,,,,,,2026-09-12,"디스클로저 페이지 직접 확인 결과 최신 게시물이 2025-07-31자 'FY2024판(현상2025)'까지만 존재 - 2026-09-12 기준 FY2025 본문조차 미게시로 확인됨(타사 대비 이례적으로 지연 - actionable 가능성, 사이트 재확인 권장)."
SOMPOダイレクト損害保険,Sompo Direct,損保,子会社(Sompo),https://www.sompo-direct.co.jp/company/disclosure/,https://www.sompo-direct.co.jp/company/disclosure/,not_yet,,,,https://www.sompo-direct.co.jp/company/outline/insgenjo2026_05.pdf,ディスクロージャー誌(SOMPOダイレクトの現状2026),2026-09-12,"본문(재산상황편, 21p) 직접 PDF 열람 확인. '2025年度の単体ベースのソルベンシー・マージン比率の開示は2026年10月末の予定ですが、早期是正措置の発動基準である100%は上回る見込みです' 명시적으로 확인."
第一アイペット損害保険,Dai-ichi iPet,損保,子会社(第一生命),https://www.ipet-ins.com/company/ipet/disclosure.html,https://www.ipet-ins.com/company/ipet/disclosure.html,not_yet,,,,,ディスクロージャー誌(第一アイペットの現状2026),2026-09-12,본문(2026_main.pdf 등) 목록은 페이지상 확인. 페이지 설명에 '지급여력비율(솔벤시마진비율)은 경과조치에 따라 2026年10月 공표 예정의 별책판에 게재'라는 취지 명시 확인(스니펫).
大同火災海上保険,Daido Fire & Marine,損保,独立,https://www.daidokasai.co.jp/,https://www.daidokasai.co.jp/corporate/disclosure/,not_yet,,,,,,2026-09-12,"디스클로저 페이지·과거 연혁(2016~2025판) 확인. FY2025(2026)판 존재는 검색으로 확인 못함(2025년판까지만 노출), ESR 수치 미열람."
東京海上ダイレクト損害保険,Tokio Marine Direct,損保,子会社(東京海上HD),https://www.e-design.net/company/disclosure/,https://www.e-design.net/company/disclosure/,not_yet,,,,https://www.e-design.net/assets/pdf/company/disclosure/company_005_2026.pdf,"ディスクロージャー誌(東京海上ダイレクトの現状2026, 舊 イーデザイン損保, 2025-10-01 사명변경)",2026-09-12,본문 88p 직접 PDF 열람 확인. p14/p55: '単体ソルベンシー・マージン比率 － 別時期での開示※' 명시(2개소).
トーア再保険,Toa Reinsurance,再保険,独立,https://www.toare.co.jp/,https://www.toare.co.jp/keiei/settlement/,not_yet,,group,,https://www.toare.co.jp/keiei/settlement/,결산·솔벤시마진비율 페이지,2026-09-12,"동증 상장 재보험사(유일하게 확인대상 중 상장+비생명/손보 카테고리). 결산페이지 직접 확인: '新しい制度に基づく同比率については2026年3月期の数値を2026年10月末までに当社ホームページ等で開示を行う予定', 연결·단체 모두 100% 상회 전망만 명시 - 상장사도 예외 없이 10월 이연 확인."
日本地震再保険,Japan Earthquake Reinsurance,再保険,独立,https://www.nihonjishin.co.jp/disclosure.html,https://www.nihonjishin.co.jp/disclosure.html,not_yet,,,,,"ディスクロージャー誌(日本地震再保険の現状2026, 2026-07-28 발행)",2026-09-12,"본문 발행(2026-07-28)은 검색스니펫으로 확인. 실제 PDF 다운로드는 네트워크 접속실패(curl http=000)로 ESR/SMR 수치 직접 미확인. 정부와의 지진재재보험 특수법인이라 SMR이 조기시정조치 발동기준으로 사용되지 않는 예외 취급이라는 점도 확인(구조적 특수성, 다만 공시 자체는 별개)."
三井ダイレクト損害保険,Mitsui Direct,損保,子会社(MS&AD),https://www.mitsui-direct.co.jp/profile/overview/disclosure/,https://www.mitsui-direct.co.jp/profile/overview/disclosure/,not_yet,,,,https://www.mitsui-direct.co.jp/download/pdf/disclosure/disclosure2026.pdf,"ディスクロージャー誌(三井ダイレクト損害保険の現状2026, 全体版)",2026-09-12,"본문 61p 직접 PDF 열람 확인. p13/p41: '単体ソルベンシー・マージン比率 新基準 － － － －(注)', FY2025수치는 미공표. 별도로 p9에 'ESR 2030年度 180%以上'라는 장기 KPI 목표치가 있으나 이는 미래 목표이지 FY2025 실적이 아님(혼동 주의)."
明治安田損害保険,Meiji Yasuda Non-Life,損保,子会社(明治安田),https://www.meijiyasuda-sonpo.co.jp/profile/disclosure/,https://www.meijiyasuda-sonpo.co.jp/profile/disclosure/,posted,743.2,solo,2026-03-31,https://www.meijiyasuda-sonpo.co.jp/profile/disclosure/pdf/20260904_performance_data.pdf,"ディスクロージャー誌【別冊】業績データ(明治安田損害保険の現状2026, 2026-09-04 게시)",2026-09-12,"신기준(경제가치기준) 단체 ソルベンシー・マージン比率. PDF p2 직접 열람 확인: 적격자본(A)=40,290백만엔, 소요자본(B)=5,420백만엔, 비율(A/B)=743.2%. 경제가치기준 BS·감응도분석·산출체제까지 포함된 완전한 신기준 공시(2026-09-04 동일자 정정 1건 있음, 수치 자체는 불변)."
楽天損害保険,Rakuten Non-Life,損保,子会社(楽天),https://www.rakuten-sonpo.co.jp/company/tabid/409/Default.aspx,https://www.rakuten-sonpo.co.jp/company/tabid/409/Default.aspx,not_yet,,,,https://www.rakuten-sonpo.co.jp/Portals/0/images/company/disclosure2026.pdf,ディスクロージャー誌(楽天損保の現状2026),2026-09-12,"본문 121p 직접 PDF 열람 확인. p10: FY2025열 '単体ベースのソルベンシー・マージン比率 ―%(注7)', 주석에 '2025年度の数値は10月公表予定です' 명시."
レスキュー損害保険,Rescue Non-Life,損保,子会社,https://www.rescue-sonpo.jp/,https://www.rescue-sonpo.jp/news.php,not_yet,,,,,,2026-09-12,"令和7年度(FY2025)판 본문이 2026-07-28 발행됐다는 사실은 검색스니펫으로 확인, 정확 PDF URL·ESR 수치는 개별 미열람."
ペット＆ファミリー損害保険,Pet & Family,損保,子会社,https://www.petfamilyins.co.jp/company/notification/,,not_yet,,,,,,2026-09-12,"전자공고 페이지만 확인, 디스클로저 전용 페이지·FY2025판 URL 특정 실패(FY2024까지만 검색 노출)."
ヤマップネイチャランス損害保険,Yamap,損保,子会社,https://yamap-naturance.co.jp/company,,not_found,,,,,,2026-09-12,"2024-05 손보업 면허취득한 신생사(설립 2년차, 오키나와 나고시 소재, 종업원 17명). 회사소개 페이지는 확인했으나 'ディスクロージャー' 전용 페이지·문서를 검색으로 찾지 못함 - 공시 페이지 자체를 못 찾음. 법정 공시의무 자체는 있을 것이나 웹 게시 여부 미확인."
